node 0
    edge 12 2
    edge 15 10
    edge 22 10
    edge 29 7
    edge 31 8
    edge 33 8
    edge 40 2
    edge 42 8
    edge 45 1
    edge 57 10
    edge 61 5
    edge 67 3
    edge 69 6
    edge 70 4
    edge 82 6
    edge 85 7
    edge 94 1
    edge 100 4
    edge 108 7
    edge 2 4
    edge 10 9
    edge 14 1
    edge 19 2
    edge 30 6
    edge 44 4
    edge 52 3
    edge 53 5
    edge 54 9
    edge 59 7
    edge 60 3
    edge 71 5
    edge 78 1
    edge 90 10
    edge 98 3
    edge 104 2
    edge 110 4
    edge 113 5
    edge 115 5
node 1
    edge 6 2
    edge 25 8
    edge 30 8
    edge 36 4
    edge 38 8
    edge 42 1
    edge 45 1
    edge 49 6
    edge 51 1
    edge 60 9
    edge 68 10
    edge 74 10
    edge 76 4
    edge 77 5
    edge 82 1
    edge 84 8
    edge 87 2
    edge 98 7
    edge 102 4
    edge 105 7
    edge 112 6
    edge 113 5
    edge 117 2
    edge 9 8
    edge 10 3
    edge 13 2
    edge 17 5
    edge 21 5
    edge 28 6
    edge 32 9
    edge 46 9
    edge 53 4
    edge 59 10
    edge 63 1
    edge 64 8
    edge 65 4
    edge 88 7
    edge 91 8
    edge 93 5
    edge 99 6
    edge 100 7
    edge 103 8
    edge 104 4
    edge 108 7
    edge 109 6
    edge 114 3
node 2
    edge 6 6
    edge 13 1
    edge 31 7
    edge 35 4
    edge 38 8
    edge 40 2
    edge 44 6
    edge 45 6
    edge 48 10
    edge 53 5
    edge 55 7
    edge 56 6
    edge 62 7
    edge 69 7
    edge 73 8
    edge 83 8
    edge 88 6
    edge 94 8
    edge 109 5
    edge 119 8
    edge 0 4
    edge 10 9
    edge 11 5
    edge 15 5
    edge 23 4
    edge 26 6
    edge 30 4
    edge 34 6
    edge 60 3
    edge 61 3
    edge 64 6
    edge 71 10
    edge 77 9
    edge 79 5
    edge 86 8
    edge 89 2
    edge 93 4
    edge 108 5
node 3
    edge 9 7
    edge 13 5
    edge 17 9
    edge 18 8
    edge 19 6
    edge 21 6
    edge 29 5
    edge 32 5
    edge 34 3
    edge 45 8
    edge 46 7
    edge 47 8
    edge 51 6
    edge 58 6
    edge 75 9
    edge 84 4
    edge 90 7
    edge 91 8
    edge 94 4
    edge 95 9
    edge 103 6
    edge 104 6
    edge 110 4
    edge 8 9
    edge 24 3
    edge 30 5
    edge 35 6
    edge 44 5
    edge 49 1
    edge 50 5
    edge 65 7
    edge 69 8
    edge 71 4
    edge 78 3
    edge 82 9
    edge 83 6
    edge 85 6
    edge 88 1
    edge 98 5
    edge 108 5
    edge 119 6
node 4
    edge 6 9
    edge 8 7
    edge 11 6
    edge 13 9
    edge 25 2
    edge 31 5
    edge 36 6
    edge 44 8
    edge 48 7
    edge 49 4
    edge 50 4
    edge 51 9
    edge 62 2
    edge 65 5
    edge 76 4
    edge 78 2
    edge 81 4
    edge 82 9
    edge 95 8
    edge 98 6
    edge 100 7
    edge 103 9
    edge 109 5
    edge 114 7
    edge 115 1
    edge 16 10
    edge 20 3
    edge 26 9
    edge 33 3
    edge 37 9
    edge 41 4
    edge 55 2
    edge 68 7
    edge 89 8
    edge 104 8
    edge 108 4
    edge 117 8
    edge 118 4
node 5
    edge 10 9
    edge 15 10
    edge 18 3
    edge 24 9
    edge 27 3
    edge 29 7
    edge 33 10
    edge 37 3
    edge 39 4
    edge 51 6
    edge 52 4
    edge 53 5
    edge 57 7
    edge 63 6
    edge 67 7
    edge 73 3
    edge 77 6
    edge 87 9
    edge 89 4
    edge 94 3
    edge 99 10
    edge 110 6
    edge 111 4
    edge 113 5
    edge 114 2
    edge 116 3
    edge 8 3
    edge 11 8
    edge 12 4
    edge 13 8
    edge 17 4
    edge 26 3
    edge 28 5
    edge 36 8
    edge 45 9
    edge 56 6
    edge 60 3
    edge 62 8
    edge 65 6
    edge 71 9
    edge 74 10
    edge 82 3
    edge 97 7
    edge 101 3
    edge 104 2
    edge 107 4
    edge 120 7
node 6
    edge 1 2
    edge 2 6
    edge 4 9
    edge 14 9
    edge 20 3
    edge 26 4
    edge 27 1
    edge 34 7
    edge 35 9
    edge 45 10
    edge 50 2
    edge 55 8
    edge 61 10
    edge 78 3
    edge 80 4
    edge 92 3
    edge 96 6
    edge 101 6
    edge 118 7
    edge 13 6
    edge 18 3
    edge 24 1
    edge 37 2
    edge 40 3
    edge 42 1
    edge 44 4
    edge 59 9
    edge 62 3
    edge 68 2
    edge 70 9
    edge 72 10
    edge 76 8
    edge 81 5
    edge 82 3
    edge 88 2
    edge 94 5
    edge 105 7
    edge 112 2
    edge 120 6
node 7
    edge 8 6
    edge 11 3
    edge 14 3
    edge 24 10
    edge 28 8
    edge 34 5
    edge 47 3
    edge 51 5
    edge 54 6
    edge 55 3
    edge 62 5
    edge 65 7
    edge 69 2
    edge 73 8
    edge 74 3
    edge 75 7
    edge 78 9
    edge 82 10
    edge 85 9
    edge 96 4
    edge 99 9
    edge 104 8
    edge 106 4
    edge 110 4
    edge 113 8
    edge 114 2
    edge 10 3
    edge 16 10
    edge 20 2
    edge 23 5
    edge 32 10
    edge 49 4
    edge 59 6
    edge 60 4
    edge 102 8
    edge 105 6
    edge 109 3
node 8
    edge 4 7
    edge 7 6
    edge 9 3
    edge 10 2
    edge 14 9
    edge 29 2
    edge 30 8
    edge 32 3
    edge 55 8
    edge 61 7
    edge 67 5
    edge 78 10
    edge 86 2
    edge 104 4
    edge 105 8
    edge 108 3
    edge 3 9
    edge 5 3
    edge 25 8
    edge 26 4
    edge 39 9
    edge 46 6
    edge 63 6
    edge 76 8
    edge 89 5
    edge 97 6
    edge 98 7
    edge 103 2
    edge 116 7
node 9
    edge 3 7
    edge 8 3
    edge 18 7
    edge 23 8
    edge 24 9
    edge 27 2
    edge 38 1
    edge 51 9
    edge 56 7
    edge 61 9
    edge 76 9
    edge 82 9
    edge 83 8
    edge 84 5
    edge 86 9
    edge 89 4
    edge 102 6
    edge 103 2
    edge 113 7
    edge 116 6
    edge 117 5
    edge 1 8
    edge 25 8
    edge 31 6
    edge 35 6
    edge 40 8
    edge 41 7
    edge 43 6
    edge 46 3
    edge 49 6
    edge 54 5
    edge 59 4
    edge 64 5
    edge 70 8
    edge 72 5
    edge 80 4
    edge 87 5
    edge 97 7
node 10
    edge 5 9
    edge 8 2
    edge 11 9
    edge 21 2
    edge 27 7
    edge 31 10
    edge 45 6
    edge 48 5
    edge 50 1
    edge 51 2
    edge 59 3
    edge 64 9
    edge 66 9
    edge 74 10
    edge 94 8
    edge 95 4
    edge 101 10
    edge 106 6
    edge 108 7
    edge 114 7
    edge 118 4
    edge 119 1
    edge 0 9
    edge 1 3
    edge 2 9
    edge 7 3
    edge 16 5
    edge 25 1
    edge 36 8
    edge 37 4
    edge 57 10
    edge 68 2
    edge 72 8
    edge 75 4
    edge 80 7
    edge 81 7
    edge 83 8
    edge 84 3
    edge 93 7
    edge 97 3
    edge 116 6
node 11
    edge 4 6
    edge 7 3
    edge 10 9
    edge 12 9
    edge 16 5
    edge 28 7
    edge 29 9
    edge 30 7
    edge 38 8
    edge 54 2
    edge 55 2
    edge 62 8
    edge 63 6
    edge 78 4
    edge 80 5
    edge 81 3
    edge 85 8
    edge 89 2
    edge 94 7
    edge 98 9
    edge 107 2
    edge 110 1
    edge 115 2
    edge 119 9
    edge 2 5
    edge 5 8
    edge 19 9
    edge 20 9
    edge 27 4
    edge 31 4
    edge 39 3
    edge 45 2
    edge 47 4
    edge 56 4
    edge 61 9
    edge 66 5
    edge 69 2
    edge 70 9
    edge 71 6
    edge 87 5
    edge 91 7
    edge 93 9
    edge 101 7
    edge 104 4
    edge 116 5
node 12
    edge 0 2
    edge 11 9
    edge 16 2
    edge 21 9
    edge 28 7
    edge 30 4
    edge 33 3
    edge 35 2
    edge 36 4
    edge 37 8
    edge 50 6
    edge 52 1
    edge 53 2
    edge 61 10
    edge 78 6
    edge 83 4
    edge 99 9
    edge 100 6
    edge 105 7
    edge 108 9
    edge 5 4
    edge 23 8
    edge 24 3
    edge 27 3
    edge 41 3
    edge 43 6
    edge 46 4
    edge 55 3
    edge 56 8
    edge 59 9
    edge 69 5
    edge 73 8
    edge 77 6
    edge 80 5
    edge 94 10
    edge 110 7
    edge 120 6
node 13
    edge 2 1
    edge 3 5
    edge 4 9
    edge 20 7
    edge 21 2
    edge 25 4
    edge 32 8
    edge 36 1
    edge 38 5
    edge 46 6
    edge 48 2
    edge 56 5
    edge 70 8
    edge 75 3
    edge 87 3
    edge 105 6
    edge 108 9
    edge 110 1
    edge 115 6
    edge 1 2
    edge 5 8
    edge 6 6
    edge 31 6
    edge 44 4
    edge 49 3
    edge 51 8
    edge 52 9
    edge 65 5
    edge 66 9
    edge 72 6
    edge 76 3
    edge 90 5
    edge 101 9
    edge 103 9
    edge 111 6
    edge 114 2
node 14
    edge 6 9
    edge 7 3
    edge 8 9
    edge 23 2
    edge 32 5
    edge 35 9
    edge 38 2
